,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
89,N/A,N/A,clf,N/A,N/A,N/A,N/A,N/A,3.42,5.98,0.97,1.56,16.09,18.52,11.06,2260000000.0,8.08,2260000000.0,3640000000.0,13.16,0.23,1.56,7.00,1.56,389300000.0,2260000000.0,393600000.0,1.28,301.80,20.30,1010000000.0,3.4,2300000000.0,3.42,1.47,337900000.0,2260000000.0,0.69,58.33,43840000.0,3.58,14.86,39060000.0,N/A
90,N/A,N/A,clx,N/A,N/A,N/A,N/A,N/A,371.62,26.24,3.05,31.06,11.84,18.62,15.48,18390000000.0,46.80,18390000000.0,20120000000.0,23.16,3.41,3.34,15.85,3.34,2670000000.0,18390000000.0,5.43,5.43,7.30,4.00,3.63,3.63,2200000000.0,1.11,4.59,654500000.0,18390000000.0,0.10,76.46,7600000.0,7.12,6.59,6770000.0,N/A
91,N/A,N/A,cma,N/A,N/A,N/A,N/A,N/A,46.07,23.14,5.35,2.08,24.01,42.92,1.03,16559999999.999998,17.73,16559999999.999998,15350000000.0,13.46,0.47,4.96,24.01,4.96,4.14,16559999999.999998,4.14,4.14,31.70,18.30,5850000000.0,33.81,4630000000.0,46.07,46.07,1.71,16559999999.999998,0.76,86.25,2980000.0,1.75,1.70,3340000.0,N/A
92,N/A,N/A,cmcsa,N/A,N/A,N/A,N/A,N/A,91.17,9.02,2.37,2.95,26.87,21.05,6.05,200040000000.0,17.66,200040000000.0,263519999999.99997,15.56,1.91,3.12,9.39,3.12,55940000000.0,200040000000.0,22710000000.0,4.75,552.70,4.20,3440000000.0,0.73,64560000000.0,0.75,14.51,21400000000.0,200040000000.0,0.68,84.55,67440000.0,2.55,1.43,58020000.0,N/A
93,N/A,N/A,cme,N/A,N/A,N/A,N/A,N/A,10.70,35.18,14.44,2.52,40.94,63.21,2.04,52800000000.0,10.81,52800000000.0,53310000000.0,25.65,2.19,14.58,21.10,14.58,3470000000.0,52800000000.0,1500000000.0,4.41,34.70,5.80,1720000000.0,5.05,2230000000.0,1.05,61.52,1810000000.0,52800000000.0,0.62,85.57,4800000.0,3.98,1.42,4570000.0,N/A
94,N/A,N/A,cmg,N/A,N/A,N/A,N/A,N/A,2.03,64.31,2.12,6.73,3.37,5.75,7.66,9320000000.0,153.46,9320000000.0,8780000000.0,33.36,0.46,1.99,21.24,1.99,498210000.0,9320000000.0,148440000.0,5.14,151.40,8.80,548360000.0,19.42,2.03,2.03,49.04,202560000.0,9320000000.0,2.83,53.42,5460000.0,3.12,24.61,5570000.0,N/A
95,N/A,N/A,cmi,N/A,N/A,N/A,N/A,N/A,26.34,19.56,1.64,4.17,8.49,9.73,7.15,31950000000.0,116.38,31950000000.0,32650000000.0,16.24,1.37,1.68,13.26,1.68,4450000000.0,31950000000.0,1650000000.0,9.84,56.70,26.20,1440000000.0,8.73,2260000000.0,1.57,46.12,2089999999.9999998,31950000000.0,0.26,85.40,4150000.0000000005,3.01,2.67,4.32,N/A
96,N/A,N/A,cms,N/A,N/A,N/A,N/A,N/A,225.96,23.20,1.96,2.78,8.38,19.53,3.66,12610000000.0,23.07,12610000000.0,23100000000.0,19.22,2.83,3.58,11.53,3.58,2390000000.0,12610000000.0,1.93,1.93,7.50,3.80,0.5,0.5,10330000000.0,0.94,16.10,1590000000.0,12610000000.0,0.61,91.42,5100000.0,2.44,2.04,5880000.0,N/A
97,N/A,N/A,cnp,N/A,N/A,N/A,N/A,N/A,239.94,20.62,1.35,3.39,6.59,11.25,2.93,12270000000.0,21.02,12270000000.0,19590000000.0,19.49,2.48,2.16,9.68,2.16,2470000000.0,12270000000.0,1.38,1.38,5.60,11.10,1320000000.0,3.07,8680000000.0,0.91,8.39,1500000000.0,12270000000.0,0.19,80.99,6530000.0,2.61,1.70,5240000.0,N/A
98,N/A,N/A,cnx,N/A,N/A,N/A,N/A,N/A,62.47,55.58,1.33,0.85,8.31,7.67,1.26,3240000000.0,10.57,3240000000.0,5580000000.0,55.58,3.75,2.30,10.68,2.30,656270000.0,3240000000.0,221500000.0,0.88,285710000.0,11.40,285710000.0,1.24,2540000000.0,0.94,17.09,553200000.0,3240000000.0,1.04,104.82,6940000.0,1.98,3.90,6780000.0,N/A
99,N/A,N/A,cof,N/A,N/A,N/A,N/A,N/A,91.35,30.11,2.57,1.15,10.02,29.46,0.59,50850000000.0,40.84,50850000000.0,97190000000.0,9.73,0.78,4.91,10.02,4.91,1840000000.0,50850000000.0,1840000000.0,3.48,14040000000.0,5.70,14040000000.0,28.91,60280000000.0,91.35,91.35,1.32,50850000000.0,0.64,90.94,6220000.0,2.65,1.30,6590000.0,N/A
100,N/A,N/A,cog,N/A,N/A,N/A,N/A,N/A,57.53,28.40,7.70,4.87,8.85,7.94,1.56,12870000000.0,3.60,12870000000.0,13880000000.0,28.40,1.49,8.31,14.79,8.31,607650000.0,12870000000.0,147930000.0,0.32,510260000.0,27.30,510260000.0,1.1,1520000000.0,1.64,5.72,853720000.0,12870000000.0,1.52,97.96,16379999.999999998,2.67,3.57,16790000.0,N/A
101,N/A,N/A,col,N/A,N/A,N/A,N/A,N/A,115.96,25.83,2.99,3.59,10.99,17.50,6.49,22830000000.0,49.69,22830000000.0,29640000000.0,17.98,1.66,3.88,18.10,3.88,1950000000.0,22830000000.0,5.40,5.40,93.10,68.60,3.56,3.56,7380000000.0,1.56,38.77,1110000000.0,22830000000.0,0.37,73.84,0.11,0.11,0.00,1.32,N/A
102,N/A,N/A,cop,N/A,N/A,N/A,N/A,N/A,68.39,27.70,2.53,2.37,8.65,3.33,0.70,72200000000.0,23.12,72200000000.0,81510000000.0,27.70,2.58,2.86,9.41,2.86,8029999999.999999,72200000000.0,2470000000.0,2.01,11690000000.0,8.30,11690000000.0,9.78,68.39,2.38,25.51,6040000000.0,72200000000.0,0.08,71.88,25880000.0,3.94,2.09,26170000.0,N/A
103,N/A,N/A,cost,N/A,N/A,N/A,N/A,N/A,57.04,31.62,0.66,7.89,2.09,3.17,6.94,87340000000.0,302.75,87340000000.0,86940000000.0,26.66,2.74,0.65,15.47,0.65,17140000000.0,87340000000.0,2770000000.0,6.29,17.40,13.20,6890000000.0,15.68,6480000000.0,0.98,25.22,5940000000.0,87340000000.0,0.63,73.28,15130000.0,5.37,3.47,14040000.0,N/A
104,N/A,N/A,cpb,N/A,N/A,N/A,N/A,N/A,204.91,16.58,1.81,8.48,11.08,20.91,13.00,14230000000.0,25.88,14230000000.0,17530000000.0,15.22,4.96,2.23,8.92,2.23,3060000000.0,14230000000.0,2.86,2.86,5.80,1.90,0.55,0.55,3460000000.0,0.77,5.59,1260000000.0,14230000000.0,41.94,49.11,23340000.0,9.61,13.29,23570000.0,N/A
